,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
180,frozenset({'pm1-Zelo dobra'}),frozenset({'pm25-Zelo dobra'}),0.8513080168776371,1.0,0.8513080168776371,1.0,1.0,0.0,inf,0.0
184,"frozenset({'nox-Zelo nizka', 'pm1-Zelo dobra'})",frozenset({'pm25-Zelo dobra'}),0.8513080168776371,1.0,0.8513080168776371,1.0,1.0,0.0,inf,0.0
186,"frozenset({'pm1-Zelo dobra', 'pm25-Zelo dobra'})",frozenset({'nox-Zelo nizka'}),0.8513080168776371,1.0,0.8513080168776371,1.0,1.0,0.0,inf,0.0
188,frozenset({'pm1-Zelo dobra'}),"frozenset({'nox-Zelo nizka', 'pm25-Zelo dobra'})",0.8513080168776371,1.0,0.8513080168776371,1.0,1.0,0.0,inf,0.0
191,"frozenset({'pm4-Zelo dobra', 'pm1-Zelo dobra'})",frozenset({'nox-Zelo nizka'}),0.8513080168776371,1.0,0.8513080168776371,1.0,1.0,0.0,inf,0.0
196,"frozenset({'pm4-Zelo dobra', 'pm1-Zelo dobra'})",frozenset({'pm25-Zelo dobra'}),0.8513080168776371,1.0,0.8513080168776371,1.0,1.0,0.0,inf,0.0
203,frozenset({'pm1-Zelo dobra'}),frozenset({'nox-Zelo nizka'}),0.8513080168776371,1.0,0.8513080168776371,1.0,1.0,0.0,inf,0.0
204,"frozenset({'pm4-Zelo dobra', 'nox-Zelo nizka', 'pm1-Zelo dobra'})",frozenset({'pm25-Zelo dobra'}),0.8513080168776371,1.0,0.8513080168776371,1.0,1.0,0.0,inf,0.0
206,"frozenset({'pm4-Zelo dobra', 'pm1-Zelo dobra', 'pm25-Zelo dobra'})",frozenset({'nox-Zelo nizka'}),0.8513080168776371,1.0,0.8513080168776371,1.0,1.0,0.0,inf,0.0
209,"frozenset({'pm4-Zelo dobra', 'pm1-Zelo dobra'})","frozenset({'nox-Zelo nizka', 'pm25-Zelo dobra'})",0.8513080168776371,1.0,0.8513080168776371,1.0,1.0,0.0,inf,0.0
226,"frozenset({'pm4-Zelo dobra', 'pm1-Zelo dobra', 'no2-Zelo dobra'})",frozenset({'nox-Zelo nizka'}),0.8485513361462729,1.0,0.8485513361462729,1.0,1.0,0.0,inf,0.0
238,"frozenset({'pm1-Zelo dobra', 'no2-Zelo dobra'})",frozenset({'pm25-Zelo dobra'}),0.8485513361462729,1.0,0.8485513361462729,1.0,1.0,0.0,inf,0.0
246,"frozenset({'pm1-Zelo dobra', 'no2-Zelo dobra'})",frozenset({'nox-Zelo nizka'}),0.8485513361462729,1.0,0.8485513361462729,1.0,1.0,0.0,inf,0.0
252,"frozenset({'pm4-Zelo dobra', 'nox-Zelo nizka', 'pm1-Zelo dobra', 'no2-Zelo dobra'})",frozenset({'pm25-Zelo dobra'}),0.8485513361462729,1.0,0.8485513361462729,1.0,1.0,0.0,inf,0.0
253,"frozenset({'pm4-Zelo dobra', 'pm25-Zelo dobra', 'pm1-Zelo dobra', 'no2-Zelo dobra'})",frozenset({'nox-Zelo nizka'}),0.8485513361462729,1.0,0.8485513361462729,1.0,1.0,0.0,inf,0.0
