,support,itemsets
84,0.8513080168776371,"('pm25-Zelo dobra', 'pm1-Zelo dobra', 'pm4-Zelo dobra')"
138,0.8513080168776371,"('benzen-Dobro', 'nox-Zelo nizka', 'pm1-Zelo dobra', 'pm4-Zelo dobra')"
38,0.8513080168776371,"('pm1-Zelo dobra', 'pm4-Zelo dobra')"
137,0.8513080168776371,"('pm25-Zelo dobra', 'nox-Zelo nizka', 'pm1-Zelo dobra', 'pm4-Zelo dobra')"
136,0.8513080168776371,"('pm25-Zelo dobra', 'benzen-Dobro', 'pm1-Zelo dobra', 'pm4-Zelo dobra')"
6,0.8513080168776371,"('pm1-Zelo dobra',)"
133,0.8513080168776371,"('pm25-Zelo dobra', 'benzen-Dobro', 'nox-Zelo nizka', 'pm1-Zelo dobra')"
173,0.8485513361462729,"('no2-Zelo dobra', 'pm25-Zelo dobra', 'benzen-Dobro', 'nox-Zelo nizka', 'pm1-Zelo dobra', 'pm4-Zelo dobra')"
124,0.8485513361462729,"('no2-Zelo dobra', 'pm25-Zelo dobra', 'nox-Zelo nizka', 'pm1-Zelo dobra')"
132,0.8485513361462729,"('no2-Zelo dobra', 'nox-Zelo nizka', 'pm1-Zelo dobra', 'pm4-Zelo dobra')"
131,0.8485513361462729,"('no2-Zelo dobra', 'benzen-Dobro', 'pm1-Zelo dobra', 'pm4-Zelo dobra')"
73,0.8485513361462729,"('no2-Zelo dobra', 'nox-Zelo nizka', 'pm1-Zelo dobra')"
128,0.8485513361462729,"('no2-Zelo dobra', 'benzen-Dobro', 'nox-Zelo nizka', 'pm1-Zelo dobra')"
121,0.8485513361462729,"('no2-Zelo dobra', 'pm25-Zelo dobra', 'benzen-Dobro', 'pm1-Zelo dobra')"
23,0.8485513361462729,"('no2-Zelo dobra', 'pm1-Zelo dobra')"
76,0.8485513361462729,"('no2-Zelo dobra', 'pm1-Zelo dobra', 'pm4-Zelo dobra')"
70,0.8485513361462729,"('no2-Zelo dobra', 'benzen-Dobro', 'pm1-Zelo dobra')"
164,0.8485513361462729,"('no2-Zelo dobra', 'benzen-Dobro', 'nox-Zelo nizka', 'pm1-Zelo dobra', 'pm4-Zelo dobra')"
66,0.8485513361462729,"('no2-Zelo dobra', 'pm25-Zelo dobra', 'pm1-Zelo dobra')"
163,0.8485513361462729,"('no2-Zelo dobra', 'pm25-Zelo dobra', 'nox-Zelo nizka', 'pm1-Zelo dobra', 'pm4-Zelo dobra')"
127,0.8485513361462729,"('no2-Zelo dobra', 'pm25-Zelo dobra', 'pm1-Zelo dobra', 'pm4-Zelo dobra')"
162,0.8485513361462729,"('no2-Zelo dobra', 'pm25-Zelo dobra', 'benzen-Dobro', 'pm1-Zelo dobra', 'pm4-Zelo dobra')"
159,0.8485513361462729,"('no2-Zelo dobra', 'pm25-Zelo dobra', 'benzen-Dobro', 'nox-Zelo nizka', 'pm1-Zelo dobra')"
115,0.8032630098452883,"('pm10-Zelo dobra', 'pm25-Zelo dobra', 'pm1-Zelo dobra', 'pm4-Zelo dobra')"
111,0.8032630098452883,"('pm10-Zelo dobra', 'pm25-Zelo dobra', 'benzen-Dobro', 'pm1-Zelo dobra')"
119,0.8032630098452883,"('pm10-Zelo dobra', 'nox-Zelo nizka', 'pm1-Zelo dobra', 'pm4-Zelo dobra')"
113,0.8032630098452883,"('pm10-Zelo dobra', 'pm25-Zelo dobra', 'nox-Zelo nizka', 'pm1-Zelo dobra')"
118,0.8032630098452883,"('pm10-Zelo dobra', 'benzen-Dobro', 'pm1-Zelo dobra', 'pm4-Zelo dobra')"
116,0.8032630098452883,"('pm10-Zelo dobra', 'benzen-Dobro', 'nox-Zelo nizka', 'pm1-Zelo dobra')"
63,0.8032630098452883,"('pm10-Zelo dobra', 'pm1-Zelo dobra', 'pm4-Zelo dobra')"
